2026-02-25 23:05:53.422 | INFO     | logging:callHandlers:1736 - Job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:10:41 WAT)" executed successfully
2026-02-25 23:10:41.409 | INFO     | logging:callHandlers:1736 - Running job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:15:41 WAT)" (scheduled at 2026-02-25 23:10:41.405647+01:00)
2026-02-25 23:10:41.412 | INFO     | logging:callHandlers:1736 - Running scheduled overdue savings payment check
2026-02-25 23:10:52.801 | INFO     | logging:callHandlers:1736 - Sent 0 savings payment overdue notifications
2026-02-25 23:10:52.986 | INFO     | logging:callHandlers:1736 - Job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:15:41 WAT)" executed successfully
2026-02-25 23:15:41.422 | INFO     | logging:callHandlers:1736 - Running job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:20:41 WAT)" (scheduled at 2026-02-25 23:15:41.405647+01:00)
2026-02-25 23:15:41.431 | INFO     | logging:callHandlers:1736 - Running scheduled overdue savings payment check
2026-02-25 23:15:53.915 | INFO     | logging:callHandlers:1736 - Sent 0 savings payment overdue notifications
2026-02-25 23:15:54.145 | INFO     | logging:callHandlers:1736 - Job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:20:41 WAT)" executed successfully
2026-02-25 23:20:41.472 | INFO     | logging:callHandlers:1736 - Running job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:25:41 WAT)" (scheduled at 2026-02-25 23:20:41.405647+01:00)
2026-02-25 23:20:41.478 | INFO     | logging:callHandlers:1736 - Running scheduled overdue savings payment check
2026-02-25 23:20:52.390 | INFO     | logging:callHandlers:1736 - Sent 0 savings payment overdue notifications
2026-02-25 23:20:52.591 | INFO     | logging:callHandlers:1736 - Job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:25:41 WAT)" executed successfully
2026-02-25 23:25:41.495 | INFO     | logging:callHandlers:1736 - Running job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:30:41 WAT)" (scheduled at 2026-02-25 23:25:41.405647+01:00)
2026-02-25 23:25:41.514 | INFO     | logging:callHandlers:1736 - Running scheduled overdue savings payment check
2026-02-25 23:25:52.647 | INFO     | logging:callHandlers:1736 - Sent 0 savings payment overdue notifications
2026-02-25 23:25:52.845 | INFO     | logging:callHandlers:1736 - Job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:30:41 WAT)" executed successfully
2026-02-25 23:30:41.508 | INFO     | logging:callHandlers:1736 - Running job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:35:41 WAT)" (scheduled at 2026-02-25 23:30:41.405647+01:00)
2026-02-25 23:30:41.561 | INFO     | logging:callHandlers:1736 - Running scheduled overdue savings payment check
2026-02-25 23:30:52.670 | INFO     | logging:callHandlers:1736 - Sent 0 savings payment overdue notifications
2026-02-25 23:30:52.846 | INFO     | logging:callHandlers:1736 - Job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:35:41 WAT)" executed successfully
2026-02-25 23:35:41.458 | INFO     | logging:callHandlers:1736 - Running job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:40:41 WAT)" (scheduled at 2026-02-25 23:35:41.405647+01:00)
2026-02-25 23:35:41.473 | INFO     | logging:callHandlers:1736 - Running scheduled overdue savings payment check
2026-02-25 23:35:52.734 | INFO     | logging:callHandlers:1736 - Sent 0 savings payment overdue notifications
2026-02-25 23:35:52.932 | INFO     | logging:callHandlers:1736 - Job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:40:41 WAT)" executed successfully
2026-02-25 23:38:01.820 | INFO     | logging:callHandlers:1736 - Shutting down
2026-02-25 23:38:02.388 | INFO     | logging:callHandlers:1736 - Waiting for application shutdown.
2026-02-25 23:38:02.718 | INFO     | main:on_shutdown:220 - Application shutting down...
2026-02-25 23:38:02.742 | INFO     | logging:callHandlers:1736 - Scheduler shutdown successfully
2026-02-25 23:38:02.744 | INFO     | main:on_shutdown:224 - ✓ Scheduler shutdown
2026-02-25 23:38:03.265 | INFO     | logging:callHandlers:1736 - All database connections closed
2026-02-25 23:38:03.267 | INFO     | main:on_shutdown:231 - ✓ Database connections closed
2026-02-25 23:38:03.280 | INFO     | main:on_shutdown:235 - Shutdown completed
2026-02-25 23:38:03.336 | INFO     | logging:callHandlers:1736 - Scheduler has been shut down
2026-02-25 23:38:03.340 | INFO     | logging:callHandlers:1736 - Application shutdown complete.
2026-02-25 23:42:27.710 | INFO     | core.logger:setup_logging:58 - Structured logging (Loguru) initialized successfully.
2026-02-25 23:42:27.715 | INFO     | main:<module>:54 - Rebuilding Pydantic schemas...
2026-02-25 23:42:27.716 | INFO     | main:<module>:59 - ✓ Pydantic schemas rebuilt successfully
2026-02-25 23:42:33.365 | INFO     | logging:callHandlers:1736 - Started server process [19712]
2026-02-25 23:42:33.369 | INFO     | logging:callHandlers:1736 - Waiting for application startup.
2026-02-25 23:42:33.377 | INFO     | main:on_startup:133 - ============================================================
2026-02-25 23:42:33.379 | INFO     | main:on_startup:134 - APPLICATION STARTING UP
2026-02-25 23:42:33.399 | INFO     | main:on_startup:135 - ============================================================
2026-02-25 23:42:33.404 | INFO     | main:on_startup:141 - Initializing cache from REDIS_URL
2026-02-25 23:42:44.494 | WARNING  | logging:callHandlers:1736 - ⚠️  Redis connection failed: Connection closed by server.. Falling back to in-memory cache.
2026-02-25 23:42:44.496 | INFO     | logging:callHandlers:1736 - ✓ In-memory cache initialized (maxsize=10000, default_ttl=300s)
2026-02-25 23:42:44.497 | INFO     | logging:callHandlers:1736 - ✓ Using in-memory cache fallback
2026-02-25 23:42:51.320 | INFO     | main:on_startup:170 - ✓ Database connected: defaultdb at 94.237.82.215:26296
2026-02-25 23:42:51.482 | INFO     | main:on_startup:174 - ✓ Connection pool initialized: {'size': 20, 'checked_in': 1, 'checked_out': 0, 'overflow': -19, 'total_connections': 1}
2026-02-25 23:42:51.484 | INFO     | main:on_startup:179 - Starting SUPER_ADMIN bootstrap process...
2026-02-25 23:42:52.484 | INFO     | main:on_startup:186 - ✓ SUPER_ADMIN bootstrap completed
2026-02-25 23:42:52.651 | INFO     | main:on_startup:197 - Initializing Financial Advisor Scheduler...
2026-02-25 23:42:52.652 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 23:42:52.653 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 23:42:52.655 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 23:42:52.656 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 23:42:52.657 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 23:42:52.659 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 23:42:52.661 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 23:42:52.663 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
